Statistic Label,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment,1999 August,25 - 74 years,Male,Thousand,35.8
Seasonally Adjusted Monthly Unemployment,1999 August,25 - 74 years,Female,Thousand,26.3
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Both sexes,Thousand,34.2
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Male,Thousand,19.3
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 24 years,Female,Thousand,14.9
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Both sexes,Thousand,97.6
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Male,Thousand,54.9
Seasonally Adjusted Monthly Unemployment,1999 September,15 - 74 years,Female,Thousand,42.6
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Both sexes,Thousand,63.4
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Male,Thousand,35.6
Seasonally Adjusted Monthly Unemployment,1999 September,25 - 74 years,Female,Thousand,27.7
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Both sexes,Thousand,33.2
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Male,Thousand,19
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 24 years,Female,Thousand,14.2
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Both sexes,Thousand,98
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Male,Thousand,54.3
Seasonally Adjusted Monthly Unemployment,1999 October,15 - 74 years,Female,Thousand,43.7
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Both sexes,Thousand,64.8
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Male,Thousand,35.2
Seasonally Adjusted Monthly Unemployment,1999 October,25 - 74 years,Female,Thousand,29.6
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Both sexes,Thousand,32.5
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Male,Thousand,18.6
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 24 years,Female,Thousand,13.9
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Both sexes,Thousand,96.7
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Male,Thousand,53.3
Seasonally Adjusted Monthly Unemployment,1999 November,15 - 74 years,Female,Thousand,43.4
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Both sexes,Thousand,64.2
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Male,Thousand,34.7
Seasonally Adjusted Monthly Unemployment,1999 November,25 - 74 years,Female,Thousand,29.5
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Both sexes,Thousand,31.8
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Male,Thousand,17.9
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 24 years,Female,Thousand,13.8
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Both sexes,Thousand,94.1
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Male,Thousand,52.2
Seasonally Adjusted Monthly Unemployment,1999 December,15 - 74 years,Female,Thousand,41.9
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Both sexes,Thousand,62.3
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Male,Thousand,34.2
Seasonally Adjusted Monthly Unemployment,1999 December,25 - 74 years,Female,Thousand,28.1
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Both sexes,Thousand,31.3
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Male,Thousand,17.2
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 24 years,Female,Thousand,14.1
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Both sexes,Thousand,90.3
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Male,Thousand,50.7
Seasonally Adjusted Monthly Unemployment,2000 January,15 - 74 years,Female,Thousand,39.6
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Both sexes,Thousand,59
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Male,Thousand,33.5
Seasonally Adjusted Monthly Unemployment,2000 January,25 - 74 years,Female,Thousand,25.5
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Both sexes,Thousand,30.7
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Male,Thousand,16.4
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 24 years,Female,Thousand,14.3
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Both sexes,Thousand,87.6
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Male,Thousand,49.2
Seasonally Adjusted Monthly Unemployment,2000 February,15 - 74 years,Female,Thousand,38.4
