STATISTIC Label,Month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,2021 July,Base November 1975=100,Base = 100,699.2
Consumer Price Index,2021 July,Base November 1982=100,Base = 100,255.4
Consumer Price Index,2021 July,Base November 1989=100,Base = 100,181
Consumer Price Index,2021 July,Base November 1996=100,Base = 100,153.4
Consumer Price Index,2021 July,Base December 2001=100,Base = 100,129.8
Consumer Price Index,2021 July,Base December 2006=100,Base = 100,109.9
Consumer Price Index,2021 July,Base December 2011=100,Base = 100,105.3
Consumer Price Index,2021 July,Base December 2016=100,Base = 100,104.1
Consumer Price Index,2021 July,Base December 2023=100,Base = 100,85.9
Consumer Price Index,2021 August,Base July 1914=100,Base = 100,10034.1
Consumer Price Index,2021 August,Base August 1947=100,Base = 100,3145.6
Consumer Price Index,2021 August,Base August 1953=100,Base = 100,2516.4
Consumer Price Index,2021 August,Base November 1968=100,Base = 100,1546.7
Consumer Price Index,2021 August,Base November 1975=100,Base = 100,703.9
Consumer Price Index,2021 August,Base November 1982=100,Base = 100,257.1
Consumer Price Index,2021 August,Base November 1989=100,Base = 100,182.2
Consumer Price Index,2021 August,Base November 1996=100,Base = 100,154.4
Consumer Price Index,2021 August,Base December 2001=100,Base = 100,130.6
Consumer Price Index,2021 August,Base December 2006=100,Base = 100,110.7
Consumer Price Index,2021 August,Base December 2011=100,Base = 100,106
Consumer Price Index,2021 August,Base December 2016=100,Base = 100,104.7
Consumer Price Index,2021 August,Base December 2023=100,Base = 100,86.5
Consumer Price Index,2021 September,Base July 1914=100,Base = 100,10082.1
Consumer Price Index,2021 September,Base August 1947=100,Base = 100,3160.6
Consumer Price Index,2021 September,Base August 1953=100,Base = 100,2528.4
Consumer Price Index,2021 September,Base November 1968=100,Base = 100,1554.1
Consumer Price Index,2021 September,Base November 1975=100,Base = 100,706.7
Consumer Price Index,2021 September,Base November 1982=100,Base = 100,258.1
Consumer Price Index,2021 September,Base November 1989=100,Base = 100,183
Consumer Price Index,2021 September,Base November 1996=100,Base = 100,155
Consumer Price Index,2021 September,Base December 2001=100,Base = 100,131.2
Consumer Price Index,2021 September,Base December 2006=100,Base = 100,111.1
Consumer Price Index,2021 September,Base December 2011=100,Base = 100,106.4
Consumer Price Index,2021 September,Base December 2016=100,Base = 100,105.2
Consumer Price Index,2021 September,Base December 2023=100,Base = 100,86.8
Consumer Price Index,2021 October,Base July 1914=100,Base = 100,10149.1
Consumer Price Index,2021 October,Base August 1947=100,Base = 100,3181.7
Consumer Price Index,2021 October,Base August 1953=100,Base = 100,2545.2
Consumer Price Index,2021 October,Base November 1968=100,Base = 100,1564.5
Consumer Price Index,2021 October,Base November 1975=100,Base = 100,711.5
Consumer Price Index,2021 October,Base November 1982=100,Base = 100,259.9
Consumer Price Index,2021 October,Base November 1989=100,Base = 100,184.2
Consumer Price Index,2021 October,Base November 1996=100,Base = 100,156.1
Consumer Price Index,2021 October,Base December 2001=100,Base = 100,132.1
Consumer Price Index,2021 October,Base December 2006=100,Base = 100,111.9
Consumer Price Index,2021 October,Base December 2011=100,Base = 100,107.2
Consumer Price Index,2021 October,Base December 2016=100,Base = 100,105.9
Consumer Price Index,2021 October,Base December 2023=100,Base = 100,87.4
Consumer Price Index,2021 November,Base July 1914=100,Base = 100,10206.6
Consumer Price Index,2021 November,Base August 1947=100,Base = 100,3199.7
Consumer Price Index,2021 November,Base August 1953=100,Base = 100,2559.6
Consumer Price Index,2021 November,Base November 1968=100,Base = 100,1573.3
Consumer Price Index,2021 November,Base November 1975=100,Base = 100,715.6
Consumer Price Index,2021 November,Base November 1982=100,Base = 100,261.4
Consumer Price Index,2021 November,Base November 1989=100,Base = 100,185.3
Consumer Price Index,2021 November,Base November 1996=100,Base = 100,157
Consumer Price Index,2021 November,Base December 2001=100,Base = 100,132.8
Consumer Price Index,2021 November,Base December 2006=100,Base = 100,112.5
Consumer Price Index,2021 November,Base December 2011=100,Base = 100,107.8
Consumer Price Index,2021 November,Base December 2016=100,Base = 100,106.5
Consumer Price Index,2021 November,Base December 2023=100,Base = 100,87.9
Consumer Price Index,2021 December,Base July 1914=100,Base = 100,10254.6
Consumer Price Index,2021 December,Base August 1947=100,Base = 100,3214.7
Consumer Price Index,2021 December,Base August 1953=100,Base = 100,2571.6
Consumer Price Index,2021 December,Base November 1968=100,Base = 100,1580.7
Consumer Price Index,2021 December,Base November 1975=100,Base = 100,719.2
Consumer Price Index,2021 December,Base November 1982=100,Base = 100,262.7
Consumer Price Index,2021 December,Base November 1989=100,Base = 100,186.2
Consumer Price Index,2021 December,Base November 1996=100,Base = 100,157.8
Consumer Price Index,2021 December,Base December 2001=100,Base = 100,133.5
Consumer Price Index,2021 December,Base December 2006=100,Base = 100,113.1
Consumer Price Index,2021 December,Base December 2011=100,Base = 100,108.3
Consumer Price Index,2021 December,Base December 2016=100,Base = 100,107
Consumer Price Index,2021 December,Base December 2023=100,Base = 100,88.4
Consumer Price Index,2022 January,Base July 1914=100,Base = 100,10216.2
Consumer Price Index,2022 January,Base August 1947=100,Base = 100,3202.7
Consumer Price Index,2022 January,Base August 1953=100,Base = 100,2562
Consumer Price Index,2022 January,Base November 1968=100,Base = 100,1574.8
Consumer Price Index,2022 January,Base November 1975=100,Base = 100,716.4
Consumer Price Index,2022 January,Base November 1982=100,Base = 100,261.7
Consumer Price Index,2022 January,Base November 1989=100,Base = 100,185.5
Consumer Price Index,2022 January,Base November 1996=100,Base = 100,157.1
Consumer Price Index,2022 January,Base December 2001=100,Base = 100,133
Consumer Price Index,2022 January,Base December 2006=100,Base = 100,112.6
Consumer Price Index,2022 January,Base December 2011=100,Base = 100,107.9
Consumer Price Index,2022 January,Base December 2016=100,Base = 100,106.6
Consumer Price Index,2022 January,Base December 2023=100,Base = 100,88
Consumer Price Index,2022 February,Base July 1914=100,Base = 100,10312.1
Consumer Price Index,2022 February,Base August 1947=100,Base = 100,3232.7
Consumer Price Index,2022 February,Base August 1953=100,Base = 100,2586.1
Consumer Price Index,2022 February,Base November 1968=100,Base = 100,1589.6
Consumer Price Index,2022 February,Base November 1975=100,Base = 100,722.7
Consumer Price Index,2022 February,Base November 1982=100,Base = 100,264
Consumer Price Index,2022 February,Base November 1989=100,Base = 100,187.1
Consumer Price Index,2022 February,Base November 1996=100,Base = 100,158.5
Consumer Price Index,2022 February,Base December 2001=100,Base = 100,134.1
Consumer Price Index,2022 February,Base December 2006=100,Base = 100,113.6
Consumer Price Index,2022 February,Base December 2011=100,Base = 100,108.8
Consumer Price Index,2022 February,Base December 2016=100,Base = 100,107.6
Consumer Price Index,2022 February,Base December 2023=100,Base = 100,88.8
Consumer Price Index,2022 March,Base July 1914=100,Base = 100,10503.7
Consumer Price Index,2022 March,Base August 1947=100,Base = 100,3292.8
Consumer Price Index,2022 March,Base August 1953=100,Base = 100,2634.1
Consumer Price Index,2022 March,Base November 1968=100,Base = 100,1619.1
Consumer Price Index,2022 March,Base November 1975=100,Base = 100,736.7
Consumer Price Index,2022 March,Base November 1982=100,Base = 100,269.1
Consumer Price Index,2022 March,Base November 1989=100,Base = 100,190.7
Consumer Price Index,2022 March,Base November 1996=100,Base = 100,161.6
Consumer Price Index,2022 March,Base December 2001=100,Base = 100,136.7
Consumer Price Index,2022 March,Base December 2006=100,Base = 100,115.8
Consumer Price Index,2022 March,Base December 2011=100,Base = 100,111
Consumer Price Index,2022 March,Base December 2016=100,Base = 100,109.6
Consumer Price Index,2022 March,Base December 2023=100,Base = 100,90.5
Consumer Price Index,2022 April,Base July 1914=100,Base = 100,10599.6
Consumer Price Index,2022 April,Base August 1947=100,Base = 100,3322.9
Consumer Price Index,2022 April,Base August 1953=100,Base = 100,2658.2
Consumer Price Index,2022 April,Base November 1968=100,Base = 100,1633.9
Consumer Price Index,2022 April,Base November 1975=100,Base = 100,743.4
Consumer Price Index,2022 April,Base November 1982=100,Base = 100,271.5
Consumer Price Index,2022 April,Base November 1989=100,Base = 100,192.5
Consumer Price Index,2022 April,Base November 1996=100,Base = 100,163.1
Consumer Price Index,2022 April,Base December 2001=100,Base = 100,138
Consumer Price Index,2022 April,Base December 2006=100,Base = 100,116.9
Consumer Price Index,2022 April,Base December 2011=100,Base = 100,111.9
Consumer Price Index,2022 April,Base December 2016=100,Base = 100,110.6
Consumer Price Index,2022 April,Base December 2023=100,Base = 100,91.3
Consumer Price Index,2022 May,Base July 1914=100,Base = 100,10695.4
Consumer Price Index,2022 May,Base August 1947=100,Base = 100,3352.9
Consumer Price Index,2022 May,Base August 1953=100,Base = 100,2682.2
Consumer Price Index,2022 May,Base November 1968=100,Base = 100,1648.7
Consumer Price Index,2022 May,Base November 1975=100,Base = 100,750.1
Consumer Price Index,2022 May,Base November 1982=100,Base = 100,274
Consumer Price Index,2022 May,Base November 1989=100,Base = 100,194.2
Consumer Price Index,2022 May,Base November 1996=100,Base = 100,164.5
Consumer Price Index,2022 May,Base December 2001=100,Base = 100,139.2
Consumer Price Index,2022 May,Base December 2006=100,Base = 100,117.9
Consumer Price Index,2022 May,Base December 2011=100,Base = 100,113
Consumer Price Index,2022 May,Base December 2016=100,Base = 100,111.6
Consumer Price Index,2022 May,Base December 2023=100,Base = 100,92.2
Consumer Price Index,2022 June,Base July 1914=100,Base = 100,10839.2
Consumer Price Index,2022 June,Base August 1947=100,Base = 100,3398
Consumer Price Index,2022 June,Base August 1953=100,Base = 100,2718.2
Consumer Price Index,2022 June,Base November 1968=100,Base = 100,1670.8
Consumer Price Index,2022 June,Base November 1975=100,Base = 100,759.8
Consumer Price Index,2022 June,Base November 1982=100,Base = 100,277.5
Consumer Price Index,2022 June,Base November 1989=100,Base = 100,196.7
Consumer Price Index,2022 June,Base November 1996=100,Base = 100,166.7
Consumer Price Index,2022 June,Base December 2001=100,Base = 100,141
Consumer Price Index,2022 June,Base December 2006=100,Base = 100,119.5
Consumer Price Index,2022 June,Base December 2011=100,Base = 100,114.4
Consumer Price Index,2022 June,Base December 2016=100,Base = 100,113.1
Consumer Price Index,2022 June,Base December 2023=100,Base = 100,93.4
Consumer Price Index,2022 July,Base July 1914=100,Base = 100,10887.1
Consumer Price Index,2022 July,Base August 1947=100,Base = 100,3413
Consumer Price Index,2022 July,Base August 1953=100,Base = 100,2730.3
Consumer Price Index,2022 July,Base November 1968=100,Base = 100,1678.2
Consumer Price Index,2022 July,Base November 1975=100,Base = 100,763.3
Consumer Price Index,2022 July,Base November 1982=100,Base = 100,278.8
Consumer Price Index,2022 July,Base November 1989=100,Base = 100,197.6
Consumer Price Index,2022 July,Base November 1996=100,Base = 100,167.4
Consumer Price Index,2022 July,Base December 2001=100,Base = 100,141.7
Consumer Price Index,2022 July,Base December 2006=100,Base = 100,120
Consumer Price Index,2022 July,Base December 2011=100,Base = 100,114.9
Consumer Price Index,2022 July,Base December 2016=100,Base = 100,113.6
Consumer Price Index,2022 July,Base December 2023=100,Base = 100,93.8
Consumer Price Index,2022 August,Base July 1914=100,Base = 100,10906.3
Consumer Price Index,2022 August,Base August 1947=100,Base = 100,3419
Consumer Price Index,2022 August,Base August 1953=100,Base = 100,2735.1
Consumer Price Index,2022 August,Base November 1968=100,Base = 100,1681.2
Consumer Price Index,2022 August,Base November 1975=100,Base = 100,764.4
Consumer Price Index,2022 August,Base November 1982=100,Base = 100,279.2
Consumer Price Index,2022 August,Base November 1989=100,Base = 100,197.9
Consumer Price Index,2022 August,Base November 1996=100,Base = 100,167.7
Consumer Price Index,2022 August,Base December 2001=100,Base = 100,141.9
Consumer Price Index,2022 August,Base December 2006=100,Base = 100,120.2
Consumer Price Index,2022 August,Base December 2011=100,Base = 100,115.1
Consumer Price Index,2022 August,Base December 2016=100,Base = 100,113.8
Consumer Price Index,2022 August,Base December 2023=100,Base = 100,93.9
Consumer Price Index,2022 September,Base July 1914=100,Base = 100,10906.3
Consumer Price Index,2022 September,Base August 1947=100,Base = 100,3419
Consumer Price Index,2022 September,Base August 1953=100,Base = 100,2735.1
Consumer Price Index,2022 September,Base November 1968=100,Base = 100,1681.2
Consumer Price Index,2022 September,Base November 1975=100,Base = 100,764.6
Consumer Price Index,2022 September,Base November 1982=100,Base = 100,279.3
Consumer Price Index,2022 September,Base November 1989=100,Base = 100,198
Consumer Price Index,2022 September,Base November 1996=100,Base = 100,167.7
Consumer Price Index,2022 September,Base December 2001=100,Base = 100,141.9
Consumer Price Index,2022 September,Base December 2006=100,Base = 100,120.2
Consumer Price Index,2022 September,Base December 2011=100,Base = 100,115.2
Consumer Price Index,2022 September,Base December 2016=100,Base = 100,113.8
Consumer Price Index,2022 September,Base December 2023=100,Base = 100,94
Consumer Price Index,2022 October,Base July 1914=100,Base = 100,11078.8
Consumer Price Index,2022 October,Base August 1947=100,Base = 100,3473.1
Consumer Price Index,2022 October,Base August 1953=100,Base = 100,2778.3
Consumer Price Index,2022 October,Base November 1968=100,Base = 100,1707.8
Consumer Price Index,2022 October,Base November 1975=100,Base = 100,776.9
Consumer Price Index,2022 October,Base November 1982=100,Base = 100,283.8
Consumer Price Index,2022 October,Base November 1989=100,Base = 100,201.1
Consumer Price Index,2022 October,Base November 1996=100,Base = 100,170.4
Consumer Price Index,2022 October,Base December 2001=100,Base = 100,144.2
Consumer Price Index,2022 October,Base December 2006=100,Base = 100,122.1
Consumer Price Index,2022 October,Base December 2011=100,Base = 100,117
Consumer Price Index,2022 October,Base December 2016=100,Base = 100,115.6
Consumer Price Index,2022 October,Base December 2023=100,Base = 100,95.5
Consumer Price Index,2022 November,Base July 1914=100,Base = 100,11117.1
Consumer Price Index,2022 November,Base August 1947=100,Base = 100,3485.1
Consumer Price Index,2022 November,Base August 1953=100,Base = 100,2787.9
Consumer Price Index,2022 November,Base November 1968=100,Base = 100,1713.7
Consumer Price Index,2022 November,Base November 1975=100,Base = 100,779.3
Consumer Price Index,2022 November,Base November 1982=100,Base = 100,284.7
Consumer Price Index,2022 November,Base November 1989=100,Base = 100,201.8
Consumer Price Index,2022 November,Base November 1996=100,Base = 100,171
Consumer Price Index,2022 November,Base December 2001=100,Base = 100,144.6
Consumer Price Index,2022 November,Base December 2006=100,Base = 100,122.5
Consumer Price Index,2022 November,Base December 2011=100,Base = 100,117.4
Consumer Price Index,2022 November,Base December 2016=100,Base = 100,116
Consumer Price Index,2022 November,Base December 2023=100,Base = 100,95.8
Consumer Price Index,2022 December,Base July 1914=100,Base = 100,11097.9
Consumer Price Index,2022 December,Base August 1947=100,Base = 100,3479.1
Consumer Price Index,2022 December,Base August 1953=100,Base = 100,2783.1
Consumer Price Index,2022 December,Base November 1968=100,Base = 100,1710.7
Consumer Price Index,2022 December,Base November 1975=100,Base = 100,778.1
Consumer Price Index,2022 December,Base November 1982=100,Base = 100,284.2
Consumer Price Index,2022 December,Base November 1989=100,Base = 100,201.4
Consumer Price Index,2022 December,Base November 1996=100,Base = 100,170.7
Consumer Price Index,2022 December,Base December 2001=100,Base = 100,144.4
Consumer Price Index,2022 December,Base December 2006=100,Base = 100,122.3
Consumer Price Index,2022 December,Base December 2011=100,Base = 100,117.2
Consumer Price Index,2022 December,Base December 2016=100,Base = 100,115.8
Consumer Price Index,2022 December,Base December 2023=100,Base = 100,95.6
Consumer Price Index,2023 January,Base July 1914=100,Base = 100,11011.7
Consumer Price Index,2023 January,Base August 1947=100,Base = 100,3452.1
Consumer Price Index,2023 January,Base August 1953=100,Base = 100,2761.5
Consumer Price Index,2023 January,Base November 1968=100,Base = 100,1697.4
Consumer Price Index,2023 January,Base November 1975=100,Base = 100,771.9
Consumer Price Index,2023 January,Base November 1982=100,Base = 100,281.9
Consumer Price Index,2023 January,Base November 1989=100,Base = 100,199.8
Consumer Price Index,2023 January,Base November 1996=100,Base = 100,169.3
Consumer Price Index,2023 January,Base December 2001=100,Base = 100,143.3
Consumer Price Index,2023 January,Base December 2006=100,Base = 100,121.4
Consumer Price Index,2023 January,Base December 2011=100,Base = 100,116.2
Consumer Price Index,2023 January,Base December 2016=100,Base = 100,114.9
Consumer Price Index,2023 January,Base December 2023=100,Base = 100,94.8
Consumer Price Index,2023 February,Base July 1914=100,Base = 100,11184.2
Consumer Price Index,2023 February,Base August 1947=100,Base = 100,3506.1
Consumer Price Index,2023 February,Base August 1953=100,Base = 100,2804.8
Consumer Price Index,2023 February,Base November 1968=100,Base = 100,1724
Consumer Price Index,2023 February,Base November 1975=100,Base = 100,784.3
Consumer Price Index,2023 February,Base November 1982=100,Base = 100,286.5
Consumer Price Index,2023 February,Base November 1989=100,Base = 100,203
Consumer Price Index,2023 February,Base November 1996=100,Base = 100,172
Consumer Price Index,2023 February,Base December 2001=100,Base = 100,145.6
Consumer Price Index,2023 February,Base December 2006=100,Base = 100,123.3
Consumer Price Index,2023 February,Base December 2011=100,Base = 100,118.1
Consumer Price Index,2023 February,Base December 2016=100,Base = 100,116.7
Consumer Price Index,2023 February,Base December 2023=100,Base = 100,96.4
Consumer Price Index,2023 March,Base July 1914=100,Base = 100,11308.8
Consumer Price Index,2023 March,Base August 1947=100,Base = 100,3545.2
Consumer Price Index,2023 March,Base August 1953=100,Base = 100,2836
Consumer Price Index,2023 March,Base November 1968=100,Base = 100,1743.2
Consumer Price Index,2023 March,Base November 1975=100,Base = 100,792.9
Consumer Price Index,2023 March,Base November 1982=100,Base = 100,289.6
Consumer Price Index,2023 March,Base November 1989=100,Base = 100,205.3
Consumer Price Index,2023 March,Base November 1996=100,Base = 100,173.9
Consumer Price Index,2023 March,Base December 2001=100,Base = 100,147.2
Consumer Price Index,2023 March,Base December 2006=100,Base = 100,124.7
Consumer Price Index,2023 March,Base December 2011=100,Base = 100,119.4
Consumer Price Index,2023 March,Base December 2016=100,Base = 100,118
Consumer Price Index,2023 March,Base December 2023=100,Base = 100,97.4
Consumer Price Index,2023 April,Base July 1914=100,Base = 100,11366.3
Consumer Price Index,2023 April,Base August 1947=100,Base = 100,3563.2
Consumer Price Index,2023 April,Base August 1953=100,Base = 100,2850.4
Consumer Price Index,2023 April,Base November 1968=100,Base = 100,1752.1
Consumer Price Index,2023 April,Base November 1975=100,Base = 100,796.9
Consumer Price Index,2023 April,Base November 1982=100,Base = 100,291.1
Consumer Price Index,2023 April,Base November 1989=100,Base = 100,206.3
Consumer Price Index,2023 April,Base November 1996=100,Base = 100,174.8
Consumer Price Index,2023 April,Base December 2001=100,Base = 100,147.9
Consumer Price Index,2023 April,Base December 2006=100,Base = 100,125.3
Consumer Price Index,2023 April,Base December 2011=100,Base = 100,120
Consumer Price Index,2023 April,Base December 2016=100,Base = 100,118.6
Consumer Price Index,2023 April,Base December 2023=100,Base = 100,97.9
Consumer Price Index,2023 May,Base July 1914=100,Base = 100,11404.6
Consumer Price Index,2023 May,Base August 1947=100,Base = 100,3575.2
Consumer Price Index,2023 May,Base August 1953=100,Base = 100,2860
Consumer Price Index,2023 May,Base November 1968=100,Base = 100,1758
Consumer Price Index,2023 May,Base November 1975=100,Base = 100,799.6
Consumer Price Index,2023 May,Base November 1982=100,Base = 100,292.1
Consumer Price Index,2023 May,Base November 1989=100,Base = 100,207
Consumer Price Index,2023 May,Base November 1996=100,Base = 100,175.4
Consumer Price Index,2023 May,Base December 2001=100,Base = 100,148.4
Consumer Price Index,2023 May,Base December 2006=100,Base = 100,125.7
Consumer Price Index,2023 May,Base December 2011=100,Base = 100,120.4
Consumer Price Index,2023 May,Base December 2016=100,Base = 100,119
Consumer Price Index,2023 May,Base December 2023=100,Base = 100,98.3
Consumer Price Index,2023 June,Base July 1914=100,Base = 100,11500.4
Consumer Price Index,2023 June,Base August 1947=100,Base = 100,3605.3
Consumer Price Index,2023 June,Base August 1953=100,Base = 100,2884.1
Consumer Price Index,2023 June,Base November 1968=100,Base = 100,1772.8
Consumer Price Index,2023 June,Base November 1975=100,Base = 100,806.3
Consumer Price Index,2023 June,Base November 1982=100,Base = 100,294.5
Consumer Price Index,2023 June,Base November 1989=100,Base = 100,208.7
Consumer Price Index,2023 June,Base November 1996=100,Base = 100,176.9
Consumer Price Index,2023 June,Base December 2001=100,Base = 100,149.6
Consumer Price Index,2023 June,Base December 2006=100,Base = 100,126.8
Consumer Price Index,2023 June,Base December 2011=100,Base = 100,121.4
Consumer Price Index,2023 June,Base December 2016=100,Base = 100,120
Consumer Price Index,2023 June,Base December 2023=100,Base = 100,99.1
Consumer Price Index,2023 July,Base July 1914=100,Base = 100,11519.6
Consumer Price Index,2023 July,Base August 1947=100,Base = 100,3611.3
Consumer Price Index,2023 July,Base August 1953=100,Base = 100,2888.9
Consumer Price Index,2023 July,Base November 1968=100,Base = 100,1775.7
Consumer Price Index,2023 July,Base November 1975=100,Base = 100,807.8
Consumer Price Index,2023 July,Base November 1982=100,Base = 100,295.1
Consumer Price Index,2023 July,Base November 1989=100,Base = 100,209.1
Consumer Price Index,2023 July,Base November 1996=100,Base = 100,177.2
Consumer Price Index,2023 July,Base December 2001=100,Base = 100,149.9
Consumer Price Index,2023 July,Base December 2006=100,Base = 100,127
Consumer Price Index,2023 July,Base December 2011=100,Base = 100,121.7
Consumer Price Index,2023 July,Base December 2016=100,Base = 100,120.2
Consumer Price Index,2023 July,Base December 2023=100,Base = 100,99.3
Consumer Price Index,2023 August,Base July 1914=100,Base = 100,11596.3
Consumer Price Index,2023 August,Base August 1947=100,Base = 100,3635.3
Consumer Price Index,2023 August,Base August 1953=100,Base = 100,2908.1
Consumer Price Index,2023 August,Base November 1968=100,Base = 100,1787.5
Consumer Price Index,2023 August,Base November 1975=100,Base = 100,813
Consumer Price Index,2023 August,Base November 1982=100,Base = 100,297
Consumer Price Index,2023 August,Base November 1989=100,Base = 100,210.5
Consumer Price Index,2023 August,Base November 1996=100,Base = 100,178.3
Consumer Price Index,2023 August,Base December 2001=100,Base = 100,150.9
Consumer Price Index,2023 August,Base December 2006=100,Base = 100,127.8
Consumer Price Index,2023 August,Base December 2011=100,Base = 100,122.4
Consumer Price Index,2023 August,Base December 2016=100,Base = 100,121
Consumer Price Index,2023 August,Base December 2023=100,Base = 100,99.9
Consumer Price Index,2023 September,Base July 1914=100,Base = 100,11605.9
Consumer Price Index,2023 September,Base August 1947=100,Base = 100,3638.3
Consumer Price Index,2023 September,Base August 1953=100,Base = 100,2910.5
Consumer Price Index,2023 September,Base November 1968=100,Base = 100,1789
Consumer Price Index,2023 September,Base November 1975=100,Base = 100,814
Consumer Price Index,2023 September,Base November 1982=100,Base = 100,297.3
Consumer Price Index,2023 September,Base November 1989=100,Base = 100,210.8
Consumer Price Index,2023 September,Base November 1996=100,Base = 100,178.6
Consumer Price Index,2023 September,Base December 2001=100,Base = 100,151.1
Consumer Price Index,2023 September,Base December 2006=100,Base = 100,128
Consumer Price Index,2023 September,Base December 2011=100,Base = 100,122.6
Consumer Price Index,2023 September,Base December 2016=100,Base = 100,121.1
Consumer Price Index,2023 September,Base December 2023=100,Base = 100,100
Consumer Price Index,2023 October,Base July 1914=100,Base = 100,11644.2
Consumer Price Index,2023 October,Base August 1947=100,Base = 100,3650.3
Consumer Price Index,2023 October,Base August 1953=100,Base = 100,2920.1
Consumer Price Index,2023 October,Base November 1968=100,Base = 100,1794.9
Consumer Price Index,2023 October,Base November 1975=100,Base = 100,816.3
Consumer Price Index,2023 October,Base November 1982=100,Base = 100,298.2
Consumer Price Index,2023 October,Base November 1989=100,Base = 100,211.3
Consumer Price Index,2023 October,Base November 1996=100,Base = 100,179.1
Consumer Price Index,2023 October,Base December 2001=100,Base = 100,151.5
Consumer Price Index,2023 October,Base December 2006=100,Base = 100,128.3
Consumer Price Index,2023 October,Base December 2011=100,Base = 100,122.9
Consumer Price Index,2023 October,Base December 2016=100,Base = 100,121.5
Consumer Price Index,2023 October,Base December 2023=100,Base = 100,100.3
Consumer Price Index,2023 November,Base July 1914=100,Base = 100,11548.4
Consumer Price Index,2023 November,Base August 1947=100,Base = 100,3620.3
Consumer Price Index,2023 November,Base August 1953=100,Base = 100,2896.1
Consumer Price Index,2023 November,Base November 1968=100,Base = 100,1780.1
Consumer Price Index,2023 November,Base November 1975=100,Base = 100,809.8
Consumer Price Index,2023 November,Base November 1982=100,Base = 100,295.8
Consumer Price Index,2023 November,Base November 1989=100,Base = 100,209.7
Consumer Price Index,2023 November,Base November 1996=100,Base = 100,177.7
Consumer Price Index,2023 November,Base December 2001=100,Base = 100,150.3
Consumer Price Index,2023 November,Base December 2006=100,Base = 100,127.3
Consumer Price Index,2023 November,Base December 2011=100,Base = 100,122
Consumer Price Index,2023 November,Base December 2016=100,Base = 100,120.5
Consumer Price Index,2023 November,Base December 2023=100,Base = 100,99.5
Consumer Price Index,2023 December,Base July 1914=100,Base = 100,11605.9
Consumer Price Index,2023 December,Base August 1947=100,Base = 100,3638.3
Consumer Price Index,2023 December,Base August 1953=100,Base = 100,2910.5
Consumer Price Index,2023 December,Base November 1968=100,Base = 100,1789
Consumer Price Index,2023 December,Base November 1975=100,Base = 100,813.9
Consumer Price Index,2023 December,Base November 1982=100,Base = 100,297.3
Consumer Price Index,2023 December,Base November 1989=100,Base = 100,210.7
Consumer Price Index,2023 December,Base November 1996=100,Base = 100,178.5
Consumer Price Index,2023 December,Base December 2001=100,Base = 100,151
Consumer Price Index,2023 December,Base December 2006=100,Base = 100,128
Consumer Price Index,2023 December,Base December 2011=100,Base = 100,122.6
Consumer Price Index,2023 December,Base December 2016=100,Base = 100,121.1
Consumer Price Index,2023 December,Base December 2023=100,Base = 100,100
Consumer Price Index,2024 January,Base July 1914=100,Base = 100,11462.1
Consumer Price Index,2024 January,Base August 1947=100,Base = 100,3593.3
Consumer Price Index,2024 January,Base August 1953=100,Base = 100,2874.5
Consumer Price Index,2024 January,Base November 1968=100,Base = 100,1766.9
Consumer Price Index,2024 January,Base November 1975=100,Base = 100,803.5
Consumer Price Index,2024 January,Base November 1982=100,Base = 100,293.5
Consumer Price Index,2024 January,Base November 1989=100,Base = 100,208
Consumer Price Index,2024 January,Base November 1996=100,Base = 100,176.3
Consumer Price Index,2024 January,Base December 2001=100,Base = 100,149.1
Consumer Price Index,2024 January,Base December 2006=100,Base = 100,126.3
Consumer Price Index,2024 January,Base December 2011=100,Base = 100,121
Consumer Price Index,2024 January,Base December 2016=100,Base = 100,119.6
Consumer Price Index,2024 January,Base December 2023=100,Base = 100,98.7
Consumer Price Index,2024 February,Base July 1914=100,Base = 100,11577.1
Consumer Price Index,2024 February,Base August 1947=100,Base = 100,3629.3
Consumer Price Index,2024 February,Base August 1953=100,Base = 100,2903.3
Consumer Price Index,2024 February,Base November 1968=100,Base = 100,1784.6
Consumer Price Index,2024 February,Base November 1975=100,Base = 100,811.6
Consumer Price Index,2024 February,Base November 1982=100,Base = 100,296.4
Consumer Price Index,2024 February,Base November 1989=100,Base = 100,210.1
Consumer Price Index,2024 February,Base November 1996=100,Base = 100,178
Consumer Price Index,2024 February,Base December 2001=100,Base = 100,150.6
Consumer Price Index,2024 February,Base December 2006=100,Base = 100,127.6
Consumer Price Index,2024 February,Base December 2011=100,Base = 100,122.2
Consumer Price Index,2024 February,Base December 2016=100,Base = 100,120.8
Consumer Price Index,2024 February,Base December 2023=100,Base = 100,99.7
Consumer Price Index,2024 March,Base July 1914=100,Base = 100,11625
Consumer Price Index,2024 March,Base August 1947=100,Base = 100,3644.3
Consumer Price Index,2024 March,Base August 1953=100,Base = 100,2915.3
Consumer Price Index,2024 March,Base November 1968=100,Base = 100,1792
Consumer Price Index,2024 March,Base November 1975=100,Base = 100,815.2
Consumer Price Index,2024 March,Base November 1982=100,Base = 100,297.8
Consumer Price Index,2024 March,Base November 1989=100,Base = 100,211.1
Consumer Price Index,2024 March,Base November 1996=100,Base = 100,178.8
Consumer Price Index,2024 March,Base December 2001=100,Base = 100,151.3
Consumer Price Index,2024 March,Base December 2006=100,Base = 100,128.2
